F3#,0,0,0,0,190.4202605
G3,1-1-0-0,0,0,0,201.7432384
G3#,1-1-1-0,0,0,0,213.7346094
A3,1-1-1-0,0,0,0,226.4464921
A3#,1-1-1-0,0,0,0,239.9097653
B3,1-1-2-0,1-2-1-0,0,0,254.1758943
C4,1-1-3-0,1-2-2-0,1-3-1-0,0,269.2963442
C4#,1-1-3-0,1-2-2-0,1-3-1-0,0,285.301994
D4,1-2-3-0,1-3-2-0,1-4-1-0,2-1-0-0,302.2648948
D4#,1-2-3-0,1-3-2-0,1-4-1-0,2-1-1-0,320.2468049
E4,1-2-4-0,1-3-3-0,1-4-2-0,2-1-1-0,339.2888963
F4,1-3-4-0,1-4-3-0,2-1-2-0,2-2-1-0,359.4632201
F4#,1-3-4-0,1-4-3-0,2-1-2-0,2-2-1-0,380.8315345
G4,1-4-4-0,2-1-3-0,2-2-2-0,2-3-1-0,403.4864768
G4#,1-4-4-0,2-1-3-0,2-2-2-0,2-3-1-0,427.4692189
A4,2-2-3-0,2-3-2-0,2-4-1-0,3-1-0-0,452.8929841
A4#,2-2-3-0,2-3-2-0,2-4-1-0,3-1-1-0,479.8195306
B4,2-2-4-0,2-3-3-0,2-4-2-0,3-1-1-0,508.3517886
C5,2-3-4-0,2-4-3-0,3-1-2-0,3-2-1-0,538.5823953
C5#,2-3-4-0,2-4-3-0,3-1-2-0,3-2-1-0,570.6142809
D5,2-4-4-0,3-1-3-0,3-2-2-0,3-3-1-0,604.5400826
D5#,2-4-4-0,3-1-3-0,3-2-2-0,3-3-1-0,640.4833168
E5,3-2-3-0,3-3-2-0,3-4-1-0,4-1-0-0,678.5777925
F5,3-2-4-0,3-3-3-0,3-4-2-0,4-1-1-0,718.9264402
F5#,3-2-4-0,3-3-3-0,3-4-2-0,4-1-1-0,761.6733621
G5,3-3-4-0,3-4-3-0,4-1-2-0,4-2-1-0,806.9626605
G5#,3-3-4-0,3-4-3-0,4-1-2-0,4-2-1-0,854.9487308
A5,3-4-4-0,4-1-3-0,4-2-2-0,4-3-1-0,905.7859682
A5#,3-4-4-0,4-1-3-0,4-2-2-0,4-3-1-0,959.6493543
B5,4-1-4-0,4-2-3-0,4-3-2-0,4-4-1-0,1016.71387
C6,4-2-4-0,4-3-3-0,4-4-2-0,4-5-1-0,1077.164791
C6#,4-2-4-0,4-3-3-0,4-4-2-0,4-5-1-0,1141.218269
D6,4-3-4-0,4-4-3-0,4-5-2-0,4-6-1-0,1209.080165
D6#,4-3-4-0,4-4-3-0,4-5-2-0,4-6-1-0,1280.976927
E6,4-4-4-0,4-5-3-0,4-6-2-0,4-7-1-0,1357.145292
F6,4-5-4-0,4-6-3-0,4-7-2-0,4-8-1-0,1437.842587
F6#,4-5-4-0,4-6-3-0,4-7-2-0,4-8-1-0,1523.346724
G6,4-6-4-0,4-7-3-0,4-8-2-0,4-9-1-0,1613.925321
G6#,4-6-4-0,4-7-3-0,4-8-2-0,4-9-1-0,1709.897462
A6,4-7-4-0,4-8-3-0,4-9-2-0,4-10-1-0,1811.571936
A6#,4-7-4-0,4-8-3-0,4-9-2-0,4-10-1-0,1919.298709
B6,4-8-4-0,4-9-3-0,4-10-2-0,4-11-1-0,2033.417448
C7,4-9-4-0,4-10-3-0,4-11-2-0,4-11-3-1,2154.329581
C7#,4-9-4-0,4-10-3-0,4-11-2-0,4-11-3-1,2282.436538
D7,4-10-4-0,4-12-1-0,0,0,2418.160331
D7#,4-10-4-0,4-12-1-0,0,0,2561.953853
